file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim
1053,/2026-01-03,PXL_20260102_214258489.jpg,4421844,-36.860194,174.774556,3072,4080,2026:01:03 10:42:58,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.485,2026-01-03/PXL_20260102_214441361.jpg,F,0.918189
1054,/2026-01-03,PXL_20260102_214333817.jpg,4910064,-36.860194,174.774556,4080,3072,2026:01:03 10:43:33,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.279,,F,-1
1055,/2026-01-03,PXL_20260102_214441361.jpg,4335132,-36.860156,174.7743,3072,4080,2026:01:03 10:44:41,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.944,,T,-1
1056,/2026-01-03,PXL_20260102_214505747.PORTRAIT.jpg,3844166,-36.860156,174.7743,3072,4080,2026:01:03 10:45:05,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.673,,F,-1
1057,/2026-01-03,PXL_20260102_214653058.jpg,5302391,-36.860217,174.774175,4080,3072,2026:01:03 10:46:53,0232,Google,Pixel 8 Pro,1, ,good,4,,4.618,,T,-1
1058,/2026-01-03,PXL_20260102_214655339.jpg,5607429,-36.860217,174.774175,3072,4080,2026:01:03 10:46:55,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.540,2026-01-03/PXL_20260102_214653058.jpg,F,0.920159
1059,/2026-01-03,PXL_20260102_214758517.jpg,6517299,-36.860217,174.774175,4080,3072,2026:01:03 10:47:58,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.680,2026-01-03/PXL_20260102_214809698.jpg,F,0.872968
1060,/2026-01-03,PXL_20260102_214809698.jpg,6041087,-36.860217,174.774175,4080,3072,2026:01:03 10:48:09,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.831,,T,-1
1061,/2026-01-03,PXL_20260102_215200627.jpg,3714183,-36.860375,174.7738,3072,4080,2026:01:03 10:52:00,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.503,,F,-1
1062,/2026-01-03,PXL_20260102_215207364.jpg,4583163,-36.860375,174.7738,3072,4080,2026:01:03 10:52:07,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.519,2026-01-03/PXL_20260102_215213517.jpg,F,0.904017
1063,/2026-01-03,PXL_20260102_215210359.jpg,4153314,-36.860375,174.7738,3072,4080,2026:01:03 10:52:10,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.484,2026-01-03/PXL_20260102_215213517.jpg,F,0.934607
1064,/2026-01-03,PXL_20260102_215213517.jpg,4589775,-36.860375,174.7738,4080,3072,2026:01:03 10:52:13,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.777,,T,-1
1065,/2026-01-03,PXL_20260102_215222674.jpg,3608134,-36.860375,174.7738,4080,3072,2026:01:03 10:52:22,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.611,2026-01-03/PXL_20260102_215601288.jpg,F,0.816594
1066,/2026-01-03,PXL_20260102_215250577.jpg,2578015,-36.860561,174.773667,3072,4080,2026:01:03 10:52:50,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.332,,F,-1
1067,/2026-01-03,PXL_20260102_215317894.jpg,2120333,-36.860561,174.773667,3072,4080,2026:01:03 10:53:17,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.638,,T,-1
1068,/2026-01-03,PXL_20260102_215318131.jpg,2086339,-36.860561,174.773667,3072,4080,2026:01:03 10:53:18,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.618,2026-01-03/PXL_20260102_215317894.jpg,F,0.985521
1069,/2026-01-03,PXL_20260102_215331553.jpg,3146419,-36.860561,174.773667,4080,3072,2026:01:03 10:53:31,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.961,,T,-1
1070,/2026-01-03,PXL_20260102_215336297.jpg,3598260,-36.860561,174.773667,4080,3072,2026:01:03 10:53:36,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.519,2026-01-03/PXL_20260102_215331553.jpg,F,0.859089
1071,/2026-01-03,PXL_20260102_215341590.jpg,3606244,-36.860561,174.773667,4080,3072,2026:01:03 10:53:41,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.879,2026-01-03/PXL_20260102_215331553.jpg,F,0.835758
1072,/2026-01-03,PXL_20260102_215402181.jpg,3241793,-36.860442,174.773844,3072,4080,2026:01:03 10:54:02,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.647,2026-01-03/PXL_20260102_215601288.jpg,F,0.861679
1073,/2026-01-03,PXL_20260102_215424926.jpg,3188999,-36.860442,174.773844,4080,3072,2026:01:03 10:54:24,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.921,2026-01-03/PXL_20260102_215331553.jpg,F,0.894321
1074,/2026-01-03,PXL_20260102_215517535.jpg,1789757,-36.860431,174.773739,4080,3072,2026:01:03 10:55:17,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.194,,F,-1
1075,/2026-01-03,PXL_20260102_215529120.jpg,2358928,-36.860431,174.773739,4080,3072,2026:01:03 10:55:29,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.014,,F,-1
1076,/2026-01-03,PXL_20260102_215535469.jpg,3057503,-36.860431,174.773739,4080,3072,2026:01:03 10:55:35,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.590,2026-01-03/PXL_20260102_215601288.jpg,F,0.827602
1077,/2026-01-03,PXL_20260102_215601288.jpg,3386981,-36.860431,174.773739,3072,4080,2026:01:03 10:56:01,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.674,,T,-1
1078,/2026-01-03,PXL_20260102_215626326.jpg,2110038,-36.860431,174.773739,3072,4080,2026:01:03 10:56:26,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.959,2026-01-03/PXL_20260102_215743132.jpg,F,0.895804
1079,/2026-01-03,PXL_20260102_215638317.PORTRAIT.jpg,3349545,-36.860431,174.773739,3072,4080,2026:01:03 10:56:38,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.508,2026-01-03/PXL_20260102_215601288.jpg,F,0.899232
1080,/2026-01-03,PXL_20260102_215704807.jpg,3049300,-36.860431,174.773739,3072,4080,2026:01:03 10:57:04,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.452,2026-01-03/PXL_20260102_215601288.jpg,F,0.875730
1081,/2026-01-03,PXL_20260102_215709752.PORTRAIT.jpg,4036494,-36.860431,174.773739,3072,4080,2026:01:03 10:57:09,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.472,2026-01-03/PXL_20260102_215601288.jpg,F,0.858917
1082,/2026-01-03,PXL_20260102_215743132.jpg,2074216,-36.860631,174.773744,3072,4080,2026:01:03 10:57:43,0232,Google,Pixel 8 Pro,1, ,good,4,,5.294,,T,-1
1083,/2026-01-03,PXL_20260102_222409741.jpg,4420499,-36.846078,174.825761,3072,4080,2026:01:03 11:24:09,0232,Google,Pixel 8 Pro,1, ,bad,1,,3.955,,F,-1
1084,/2026-01-03,PXL_20260102_222649501.jpg,2727007,-36.846069,174.825764,3072,4080,2026:01:03 11:26:49,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.284,2026-01-03/PXL_20260102_222652897.jpg,F,0.959661
1085,/2026-01-03,PXL_20260102_222652897.jpg,2675951,-36.846069,174.825764,3072,4080,2026:01:03 11:26:52,0232,Google,Pixel 8 Pro,1, ,best,5,,5.502,,T,-1
1086,/2026-01-03,PXL_20260102_222730755.jpg,3538969,-36.846069,174.825764,3072,4080,2026:01:03 11:27:30,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.058,2026-01-03/PXL_20260102_222652897.jpg,F,0.847725
1087,/2026-01-03,PXL_20260102_222738064.jpg,3378105,-36.846069,174.825764,4080,3072,2026:01:03 11:27:38,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.094,2026-01-03/PXL_20260102_222652897.jpg,F,0.812325
1088,/2026-01-03,PXL_20260102_222802264.jpg,3446065,-36.846069,174.825764,3072,4080,2026:01:03 11:28:02,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.165,,F,-1
1089,/2026-01-03,PXL_20260102_223014932.jpg,2953629,-36.846069,174.825764,3072,4080,2026:01:03 11:30:14,0232,Google,Pixel 8 Pro,1, ,good,4,,5.345,,T,-1
1090,/2026-01-03,PXL_20260102_223025477.jpg,5079140,-36.846069,174.825764,4080,3072,2026:01:03 11:30:25,0232,Google,Pixel 8 Pro,1, ,ok,3,,5.048,,T,-1
1091,/2026-01-03,PXL_20260102_223125008.jpg,2645422,-36.846078,174.825756,3072,4080,2026:01:03 11:31:25,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.320,2026-01-03/PXL_20260102_223014932.jpg,F,0.854657
1092,/2026-01-03,PXL_20260102_223134028.jpg,5079405,-36.846078,174.825756,4080,3072,2026:01:03 11:31:34,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.041,2026-01-03/PXL_20260102_223025477.jpg,F,0.959526
